District	Product	Profit
Кузьминки	Ремонт компьютеров	4.2301
Щаповское	Ремонт компьютеров	2.824
Войковский	Ремонт компьютеров	2.5546
Свиблово	Ремонт компьютеров	1.7839
Северное Медведково	Ремонт компьютеров	4.7016
Свиблово	Ремонт компьютеров	0.8679
Южное Бутово	Ремонт компьютеров	4.5593
Академический	Ремонт компьютеров	3.7676
Соколиная Гора	Ремонт компьютеров	3.1211
Северный	Ремонт компьютеров	3.0358
Свиблово	Ремонт компьютеров	3.0269
Очаково-Матвеевское	Ремонт компьютеров	4.1998999999999995
Даниловский	Ремонт компьютеров	2.4401
Нагатинский Затон	Ремонт компьютеров	2.8765
Измайлово	Ремонт компьютеров	3.6786000000000003
Новокосино	Ремонт компьютеров	2.8799
Киевский	Ремонт компьютеров	3.0993000000000004
Восточный	Ремонт компьютеров	1.7784
Царицыно	Ремонт компьютеров	3.7689000000000004
Михайлово-Ярцевское	Ремонт компьютеров	1.0418
Новокосино	Ремонт компьютеров	4.9639
Текстильщики	Ремонт компьютеров	4.1123
Левобережный	Ремонт компьютеров	3.1424000000000003
Выхино-Жулебино	Ремонт компьютеров	5.245900000000001
Богородское	Ремонт компьютеров	3.8496
Хорошево-Мневники	Ремонт компьютеров	3.1647000000000003
Восточное Измайлово	Ремонт компьютеров	2.6939
Кокошкино	Ремонт компьютеров	2.0993
Бабушкинский	Ремонт компьютеров	5.494400000000001
Алтуфьевский	Ремонт компьютеров	3.5602
Митино	Ремонт компьютеров	5.0733
Дмитровский	Ремонт компьютеров	3.8013000000000003
Обручевский	Ремонт компьютеров	4.1154
Куркино	Ремонт компьютеров	1.4127
Ясенево	Ремонт компьютеров	4.245699999999999
Тропарево-Никулино	Ремонт компьютеров	5.5366
Дорогомилово	Ремонт компьютеров	2.6474
Бирюлево Западное	Ремонт компьютеров	4.2745
Бирюлево Восточное	Ремонт компьютеров	5.0929
Северное Измайлово	Ремонт компьютеров	2.761
Западное Дегунино	Ремонт компьютеров	2.4701
Строгино	Ремонт компьютеров	3.242
Воскресенское	Ремонт компьютеров	1.3031
Западное Дегунино	Ремонт компьютеров	3.5861
Тверской	Ремонт компьютеров	3.4614000000000003
Ивановское	Ремонт компьютеров	3.7923
Даниловский	Ремонт компьютеров	3.2161
Некрасовка	Ремонт компьютеров	5.2221
Северное Тушино	Ремонт компьютеров	3.8867000000000003
Новокосино	Ремонт компьютеров	4.2039
Бибирево	Ремонт компьютеров	3.3768000000000002
Гольяново	Ремонт компьютеров	5.1381
Богородское	Ремонт компьютеров	5.0276
Алтуфьевский	Ремонт компьютеров	1.6421999999999999
Ломоносовский	Ремонт компьютеров	2.7205
Можайский	Ремонт компьютеров	3.2542999999999997
Таганский	Ремонт компьютеров	2.1731
Марьино	Ремонт компьютеров	4.2112
Внуково	Ремонт компьютеров	3.0166999999999997
Коньково	Ремонт компьютеров	4.6524
Нагатино-Садовники	Ремонт компьютеров	2.0866000000000002
Котловка	Ремонт компьютеров	1.6697000000000002
Кокошкино	Ремонт компьютеров	2.8083
Матушкино	Ремонт компьютеров	2.6364
Коньково	Ремонт компьютеров	5.2884
Братеево	Ремонт компьютеров	2.3224
Головинский	Ремонт компьютеров	3.1822
Лосиноостровский	Ремонт компьютеров	3.1726
